mbid,artist_mb,artist_lastfm,tags_mb,az_artist,done
5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,David Bowie,rock; pop; alternative rock; experimental; british; singer-songwriter; uk; britannique; soul; glam rock; art rock; psychedelic pop; experimental rock; pop rock; blue-eyed soul; english; classic pop and rock; post-disco; pop/rock; art pop,David Bowie,False
45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney Spears,Britney Spears,pop; dance; american; usa; electropop; américain; dance-pop; urban pop; electro house; pop and chart; teen pop; contemporary r&b; if you seek amy,Britney Spears,False
aa7a2827-f74b-473c-bd79-03d065835cf7,Franz Ferdinand,Franz Ferdinand,rock; pop; scottish; british; post-punk; uk; britannique; indie rock; art rock; post-punk revival; alternative dance; rhapsody online; rock and indie,Franz Ferdinand,False
79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,Madonna,electronic; downtempo; pop; jazz; dance; american; arabic; singer; usa; electropop; américain; dance-pop; chanteur; greatest hits; tell me; pop and chart; multiple ipi; art pop; secret,Madonna,False
83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,Pink Floyd,rock; progressive rock; 70s; 80s; 90s; british; uk; band; 60s; britannique; progressive; psychedelic rock; art rock; classic rock; psychedelic pop; space rock; english; rock opera; film soundtrack; classic pop and rock; roger waters; defacing,Pink Floyd,False
6fe07aa5-fec0-4eca-a456-f29bff451b04,Weezer,Weezer,rock; alternative rock; american; usa; power pop; américain; weezer; pop rock; geek rock; rock opera; nerd rock; rock and indie; irvine,Weezer,False
a66999a7-ae5c-460e-ba94-1a01143ae847,Snow Patrol,Snow Patrol,alternative rock; scottish; british; uk; indie rock; britpop; pop rock; northern irish; pop and chart; lo-fi indie,Snow Patrol,False
678d88b2-87b0-403b-b63d-5da7465aecc3,Led Zeppelin,Led Zeppelin,rock; heavy metal; folk; metal; american; british; uk; band; hard rock; usa; folk rock; blues rock; américain; classic rock; pop rock; english; zoo; film soundtrack; classic pop and rock; led zeppelin; persistence; want to listen,Led Zeppelin,False
309c62ba-7a22-4277-9f67-4a162526d18a,Beck,Beck,rock; electronic; alternative rock; american; usa; indie rock; folk rock; electronica; funk rock; alternative; américain; psychedelic pop; experimental rock; rock and indie; united states; singer/songwriter; lo-fi indie,Beck,False
3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Aerosmith,Aerosmith,rock; heavy metal; metal; american; hard rock; blues rock; album rock; soft rock; pop rock; arena rock; blues-rock; classic pop and rock; pop-metal; medley a b; contemporary pop/rock; classic rock. blues rock,Aerosmith,False
65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,Metallica,Metallica,rock; 80s; heavy metal; 90s; thrash metal; metal; american; seen live; band; hard rock; usa; trash; américain; thrash; symphonic metal; alternative metal; speed metal; california; los angeles; crap; bay area; trash metal; 80s thrash metal; douchebag metal; american thrash metal; rock and indie; metallica; classic metal; 80s metal; classic thrash metal; 90s metal; 80's; 90's; hard'n'heavy; lame; a filk artist; the unforgiving; stopped being good after '97; stopped being good after '88; pompous asses,Metallica,False
ea4dfa26-f633-4da6-a52a-f49ea4897b58,R.E.M.,R.E.M.,rock; alternative rock; american; post-punk; usa; power pop; folk rock; indie; américain; classic rock; college rock; jangle pop; pop rock; athens; rock and indie; georgia; pop/rock,R.E.M.,False
ba853904-ae25-4ebb-89d6-c44cfbd71bd2,Blur,Blur,rock; alternative rock; british; uk; britannique; indie rock; britpop; art rock; english; chamber pop; england; rock and indie; hyde_park; damon; albarn; gorillaz graham coxon coxon song 2 woo hoo; baggy / madchester,Blur,False
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele,Adele,pop; jazz; singer; soul; adult contemporary; blue-eyed soul; film soundtrack; pop and chart; pop soul; blue eyed soul; adele; alternative/indie rock; adult alternative pop/rock; english singer,Adele,False
bc710bcf-8815-42cf-bad2-3f1d12246aeb,Nickelback,Nickelback,rock; alternative rock; death metal; canadian; hard rock; funk rock; electropop; post-grunge; pop rock; pop and chart; music_for_people_who_dislike_music,Nickelback,False
596ffa74-3d08-44ef-b113-765d43d12738,Justin Timberlake,Justin Timberlake,pop; electropop; disco; dance-pop; boogie; pop and chart; r&b; contemporary r&b; synth funk,Justin Timberlake,False
c485632c-b784-4ee9-8ea1-c5fb365681fc,MGMT,MGMT,rock; pop; american; usa; indie rock; producer; psychedelic rock; américain; indie pop; psychedelic pop; producteur; ingénieur du son; sound engineer; rock and indie,MGMT,False
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,Johnny Cash,Johnny Cash,rock; folk; american; blues; singer-songwriter; rockabilly; country; americana; spoken word; contemporary folk; gospel; rock and roll; outlaw country; traditional country; favorite; death by diabetes; country gospel; cowboy; osteraker; johnny cash rock island,Johnny Cash,False
b202beb7-99bd-47e7-8b72-195c8d72ebdd,Christina Aguilera,Christina Aguilera,rock; pop; soul; electropop; dance-pop; adult contemporary; pop and chart; teen pop; contemporary r&b,Christina Aguilera,False
302bd7b9-d012-4360-897a-93b00c855680,David Guetta,David Guetta,electronic; dance; house; seen live; electropop; eurodance; dance-pop; progressive house; electro house; french house; dance and electronica,David Guetta,False
