mbid,artist_mb,artist_lastfm,tags_mb,az_artist,song,lyrics,image
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Speed of Sound,"how long before i get in, before it starts, before i begin? how long before you decide, but before i know what it feels like?  where to? where do i go? if you never try, then you'll never know. how long do i have to climb, up on the side of this mountain of mine?  look up, i look up at night. planets are moving at the speed of light. climb up, up in the trees. every chance that you get is a chance you seize.  how long am i gonna stand with my head stuck under the sand? i'll start before i can stop, but before i see things the right way up.  all that noise and all that sound. all those places i got found. and birds go flying at the speed of sound to show you how it all began. birds came flying from the underground. if you could see it then you'd understand.  ideas that you'll never find, all the inventors could never design. the buildings that you put up. japan and china all lit up.  the sign that i couldn't read or a light that i couldn't see. some things you have to believe, but others are puzzles, puzzling me.  all that noise and all that sound. all those places i got found. and birds go flying at the speed of sound to show you how it all began.  birds came flying from the underground. if you could see it then you'd understand. ah, when you see it then you'll understand.  all those signs— i knew what they meant. some things you can invent. some get made, and some get sent. ooh.  and birds go flying at the speed of sound to show you how it all began. birds came flying from the underground. if you could see it then you'd understand. ah, when you see it then you'll understand.",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Violet Hill,"it was a long and dark december from the rooftops i remember there was snow, white snow  clearly i remember from the windows they were watching while we froze down below  when the future's architectured by a carnival of idiots on show you'd better lie low  if you love me, won't you let me know?  was a long and dark december when the banks became cathedrals and a fox became god  priests clutched onto bibles hollowed out to fit their rifles and a cross was held aloft  bury me in armour when i'm dead and hit the ground my nerves are poles that unfroze  and if you love me, won't you let me know?  i don't want to be a soldier who the captain of some sinking ship would stow, far below  so if you love me, why d'you let me go?  i took my love down to violet hill there we sat in snow all that time she was silent still  said if you love me, won't you let me know? if you love me, won't you let me know?",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Talk,"oh brother i can't, i can't get through i've been trying hard to reach you, cause i don't know what to do oh brother i can't believe it's true i'm so scared about the future and i wanna talk to you oh i wanna talk to you  you can take a picture of something you see in the future where will i be? you can climb a ladder up to the sun or write a song nobody has sung or do something that's never been done  are you lost or incomplete? do you feel like a puzzle, you can't find your missing piece? tell me how do you feel? well, i feel like they're talking in a language i don't speak and they're talking it to me  so you take a picture of something you see in the future where will i be? you can climb a ladder up to the sun or write a song nobody has sung or do something that's never been done do something that's never been done  so you don't know where you're going, and you wanna talk and you feel like you're going where you've been before you tell anyone who'll listen but you feel ignored nothing's really making any sense at all let's talk, let's ta-a-alk let's talk, let's ta-a-alk",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Shiver,"so i look in your direction but you pay me no attention do you i know you don't listen to me 'cause you say you see straight through me, don't you?  but on and on, from the moment i wake 'til the moment i sleep i'll be there by your side just you try and stop me i'll be waiting in line just to see if you care  oh, did you want me to change? well i changed for good and i want you to know that you'll always get your way i wanted to say  don't you shiver shiver sing it loud and clear i'll always be waiting for you  so you know how much i need you but you never even see me do you? and is this my final chance of getting you?  but on and on, from the moment i wake 'til the moment i sleep i'll be there by your side just you try and stop me i'll be waiting in line just to see if you care if you care  oh, did you want me to change? well i changed for good and i want you to know that you'll always get your way and i wanted to say  don't you shiver don't you shiver  sing it loud and clear i'll always be waiting for you  yeah i'll always be waiting for you yeah i'll always be waiting for you yeah i'll always be waiting for you for you i will always be waiting  and it's you i see but you don't see me and it's you i hear so loud and so clear i sing it loud and clear and i'll always be waiting for you  so i look in your direction but you pay me no attention and you know how much i need you but you never even see me",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Green Eyes,"honey you are a rock upon which i stand and i come here to talk i hope you understand  the green eyes yeah the spotlight shines upon you  and how could anybody deny you?  i came here with a load and it feels so much lighter now i met you  and honey you should know that i could never go on without you  green eyes  honey you are the sea upon which i float and i came here to talk i think you should know  that green eyes you're the one that i wanted to find and anyone who tried to deny you must be out of their mind  because i came here with a load and it feels so much lighter since i met you  honey you should know that i could never go on without you  green eyes, green eyes  oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh oh  honey you are a rock upon which i stand",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,God Put a Smile Upon Your Face,"where do we go? nobody knows i've got to say i'm on my way down god give me style and give me grace god put a smile upon my face  where do we go to draw the line? i've got to say i wasted all your time honey honey where do i go to fall from grace? god put a smile upon your face, yeah  ah, when you work it out i'm worse than you yeah, when you work it out i wanted to ah, when you work out where to draw the line your guess is as good as mine  where do we go? nobody knows don't ever say you're on your way down when god gave you style and gave you grace and put a smile upon your face ah yeah  ah, when you work it out i'm worse than you yeah, when you work it out i want it to ah, when you work out where to draw the line your guess is as good as mine  it's as good as mine it's as good as mine it's as good as mine  as good as mine, as good as mine as good as mine, as good as mine  where do we go? nobody knows don't ever say you're on your way down when god gave you style and gave you grace and put a smile upon your face",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Strawberry Swing,"they were sitting they were sitting on the strawberry swing every moment was so precious  they were sitting they were talking under strawberry swing everybody was for fighting wouldn't wanna waste a thing  cold, cold water bring me round now my feet won't touch the ground cold, cold water what you say? when it's such… it's such a perfect day it's such a perfect day  i remember we were walking up to strawberry swing i can't wait until the morning wouldn't wanna change a thing  people moving all the time inside a perfectly straight line don't you wanna just curve away? when it's such… it's such a perfect day it's such a perfect day  ah-ah-ah-ah-iiiiii  now the sky could be blue i don't mind without you it's a waste of time  could be blue i don't mind without you it's a waste of time  now the sky could be blue could be grey without you i'm just miles away  oh the sky could be blue i don't mind without you it's a waste of time",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Life in Technicolor,"there's a wild wind blowing down the corner of my street every night there the headlights are glowing there's a cold war coming on the radio i heard baby it's a violent world  oh oh love don't let me go won't you take me where the street lights glow? i could hear it coming i could hear the sirens sound now my feet won't touch the ground  time came a-creeping oh and time's a loaded gun every road is a ray of light it goes on time only can lead you on,  still it's such a beautiful night  oh oh love don't let me go won't you take me where the street lights glow? i could hear it coming like a serenade of sound now my feet won't touch the ground  gravity release me and don't ever hold me down now my feet won't touch the ground",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,A Sky Full of Stars,"'cause you're a sky, 'cause you're a sky full of stars i'm gonna give you my heart 'cause you're a sky, 'cause you're a sky full of stars 'cause you light up the path  i don't care, go on and tear me apart i don't care if you do, ooh 'cause in a sky, 'cause in a sky full of stars i think i saw you  'cause you're a sky, 'cause you're a sky full of stars i wanna die in your arms 'cause you get lighter the more it gets dark i'm gonna give you my heart  i don't care, go on and tear me apart i don't care if you do, ooh 'cause in a sky, 'cause in a sky full of stars i think i see you i think i see you  'cause you're a sky, you're a sky full of stars such a heavenly view you're such a heavenly view",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
cc197bad-dc9c-440d-a5b5-d52ba2e14234,Coldplay,Coldplay,rock; pop; alternative rock; british; uk; britannique; britpop; pop rock; piano pop; piano rock; english; parlophone; rock and indie; ambient pop; pop/rock; chapel; post-britpop,Coldplay,Warning Sign,"a warning sign i missed the good part, then i realised i started looking and the bubble burst i started looking for excuses  come on in i've got to tell you what a state i'm in i've got to tell you in my loudest tones that i started looking for a warning sign  when the truth is i miss you yeah the truth is that i miss you so  a warning sign you came back to haunt me and i realised that you were an island and i passed you by when you were an island to discover  come on in i've got to tell you what a state i'm in i've got to tell you in my loudest tones that i started looking for a warning sign  when the truth is i miss you yeah the truth is that i miss you so  and i'm tired i should not have let you go  so i crawl back into your open arms yes i crawl back into your open arms and i crawl back into your open arms yes i crawl back into your open arms",https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
